sentence,word,label
Aaj ka din bohot busy tha,Aaj,URD
Aaj ka din bohot busy tha,ka,URD
Aaj ka din bohot busy tha,din,URD
Aaj ka din bohot busy tha,bohot,URD
Aaj ka din bohot busy tha,busy,ENG
Aaj ka din bohot busy tha,tha,URD
Yaar seriously I can not even right now,Yaar,URD
Yaar seriously I can not even right now,seriously,ENG
Yaar seriously I can not even right now,I,ENG
Yaar seriously I can not even right now,can,ENG
Yaar seriously I can not even right now,not,ENG
Yaar seriously I can not even right now,even,ENG
Yaar seriously I can not even right now,right,ENG
Yaar seriously I can not even right now,now,ENG
Bhai kal mera presentation hai still not prepared at all,Bhai,URD
Bhai kal mera presentation hai still not prepared at all,kal,URD
Bhai kal mera presentation hai still not prepared at all,mera,URD
Bhai kal mera presentation hai still not prepared at all,presentation,ENG
Bhai kal mera presentation hai still not prepared at all,hai,URD
Bhai kal mera presentation hai still not prepared at all,still,ENG
Bhai kal mera presentation hai still not prepared at all,not,ENG
Bhai kal mera presentation hai still not prepared at all,prepared,ENG
Bhai kal mera presentation hai still not prepared at all,at,ENG
Bhai kal mera presentation hai still not prepared at all,all,ENG
Khana kha liya I was literally waiting for you,Khana,URD
Khana kha liya I was literally waiting for you,kha,URD
Khana kha liya I was literally waiting for you,liya,URD
Khana kha liya I was literally waiting for you,I,ENG
Khana kha liya I was literally waiting for you,was,ENG
Khana kha liya I was literally waiting for you,literally,ENG
Khana kha liya I was literally waiting for you,waiting,ENG
Khana kha liya I was literally waiting for you,for,ENG
Khana kha liya I was literally waiting for you,you,ENG
Mujhe abhi ek meeting attend karni hai,Mujhe,URD
Mujhe abhi ek meeting attend karni hai,abhi,URD
Mujhe abhi ek meeting attend karni hai,ek,URD
Mujhe abhi ek meeting attend karni hai,meeting,ENG
Mujhe abhi ek meeting attend karni hai,attend,ENG
Mujhe abhi ek meeting attend karni hai,karni,URD
Mujhe abhi ek meeting attend karni hai,hai,URD
Yeh assignment submit karna bhool gaya tha,Yeh,URD
Yeh assignment submit karna bhool gaya tha,assignment,ENG
Yeh assignment submit karna bhool gaya tha,submit,ENG
Yeh assignment submit karna bhool gaya tha,karna,URD
Yeh assignment submit karna bhool gaya tha,bhool,URD
Yeh assignment submit karna bhool gaya tha,gaya,URD
Yeh assignment submit karna bhool gaya tha,tha,URD
Please jaldi reply kar do na,Please,MIX
Please jaldi reply kar do na,jaldi,URD
Please jaldi reply kar do na,reply,ENG
Please jaldi reply kar do na,kar,URD
Please jaldi reply kar do na,do,URD
Please jaldi reply kar do na,na,URD
Mera mood off hai aaj kal,Mera,URD
Mera mood off hai aaj kal,mood,URD
Mera mood off hai aaj kal,off,ENG
Mera mood off hai aaj kal,hai,URD
Mera mood off hai aaj kal,aaj,URD
Mera mood off hai aaj kal,kal,URD
Weekend pe koi plan hai kya,Weekend,ENG
Weekend pe koi plan hai kya,pe,URD
Weekend pe koi plan hai kya,koi,URD
Weekend pe koi plan hai kya,plan,ENG
Weekend pe koi plan hai kya,hai,URD
Weekend pe koi plan hai kya,kya,URD
Traffic itna zyada tha ke late ho gaya,Traffic,ENG
Traffic itna zyada tha ke late ho gaya,itna,URD
Traffic itna zyada tha ke late ho gaya,zyada,URD
Traffic itna zyada tha ke late ho gaya,tha,URD
Traffic itna zyada tha ke late ho gaya,ke,URD
Traffic itna zyada tha ke late ho gaya,late,ENG
Traffic itna zyada tha ke late ho gaya,ho,URD
Traffic itna zyada tha ke late ho gaya,gaya,URD
Exam ki tayari start kar do ab,Exam,ENG
Exam ki tayari start kar do ab,ki,URD
Exam ki tayari start kar do ab,tayari,URD
Exam ki tayari start kar do ab,start,ENG
Exam ki tayari start kar do ab,kar,URD
Exam ki tayari start kar do ab,do,URD
Exam ki tayari start kar do ab,ab,URD
Bilkul theek hai I will handle it,Bilkul,URD
Bilkul theek hai I will handle it,theek,URD
Bilkul theek hai I will handle it,hai,URD
Bilkul theek hai I will handle it,I,ENG
Bilkul theek hai I will handle it,will,ENG
Bilkul theek hai I will handle it,handle,ENG
Bilkul theek hai I will handle it,it,ENG
Kal office mein ek important call hai,Kal,URD
Kal office mein ek important call hai,office,ENG
Kal office mein ek important call hai,mein,URD
Kal office mein ek important call hai,ek,URD
Kal office mein ek important call hai,important,ENG
Kal office mein ek important call hai,call,ENG
Kal office mein ek important call hai,hai,URD
Mujhe iska koi idea nahi tha,Mujhe,URD
Mujhe iska koi idea nahi tha,iska,URD
Mujhe iska koi idea nahi tha,koi,URD
Mujhe iska koi idea nahi tha,idea,ENG
Mujhe iska koi idea nahi tha,nahi,URD
Mujhe iska koi idea nahi tha,tha,URD
Zara wait karo main aa raha hoon,Zara,URD
Zara wait karo main aa raha hoon,wait,ENG
Zara wait karo main aa raha hoon,karo,URD
Zara wait karo main aa raha hoon,main,URD
Zara wait karo main aa raha hoon,aa,URD
Zara wait karo main aa raha hoon,raha,URD
Zara wait karo main aa raha hoon,hoon,URD
Yeh project deadline bohot close hai,Yeh,URD
Yeh project deadline bohot close hai,project,ENG
Yeh project deadline bohot close hai,deadline,ENG
Yeh project deadline bohot close hai,bohot,URD
Yeh project deadline bohot close hai,close,ENG
Yeh project deadline bohot close hai,hai,URD
Mummy ne kaha ke ghar jaldi aao,Mummy,URD
Mummy ne kaha ke ghar jaldi aao,ne,URD
Mummy ne kaha ke ghar jaldi aao,kaha,URD
Mummy ne kaha ke ghar jaldi aao,ke,URD
Mummy ne kaha ke ghar jaldi aao,ghar,URD
Mummy ne kaha ke ghar jaldi aao,jaldi,URD
Mummy ne kaha ke ghar jaldi aao,aao,URD
Honestly mujhe iska matlab samajh nahi aya,Honestly,ENG
Honestly mujhe iska matlab samajh nahi aya,mujhe,URD
Honestly mujhe iska matlab samajh nahi aya,iska,URD
Honestly mujhe iska matlab samajh nahi aya,matlab,URD
Honestly mujhe iska matlab samajh nahi aya,samajh,URD
Honestly mujhe iska matlab samajh nahi aya,nahi,URD
Honestly mujhe iska matlab samajh nahi aya,aya,URD
Chalo chalte hain warna late ho jayenge,Chalo,URD
Chalo chalte hain warna late ho jayenge,chalte,URD
Chalo chalte hain warna late ho jayenge,hain,URD
Chalo chalte hain warna late ho jayenge,warna,URD
